,,Donald J. Trump and JD Vance,Kamala D. Harris and Tim Walz,Chase Oliver and Mike ter Maat,Jill Stein and Rudolph Butch Ware,Cornel West and Melina Abdulla,Randall A. Terry and Stephen E. Broden,Claudia De La Cruz and Karina Garcia,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,United Citizens,Constitution,Workers,,,
Precinct,Pine Forest,1054,324,4,3,1,0,3,1389,9,1398
Precinct,Provisional,51,30,0,0,1,0,0,82,0,82
Precinct,Redds Branch,578,275,2,2,2,1,0,860,5,865
Precinct,Salley,259,191,1,0,6,1,1,459,6,465
Precinct,Sandstone No. 70,461,300,11,2,1,3,2,780,6,786
Precinct,Sandstone No. 79,474,330,5,3,1,1,1,815,3,818
Precinct,Shaws Fork,418,177,4,1,2,2,1,605,3,608
Precinct,Shiloh,1030,412,6,0,2,0,3,1453,9,1462
Precinct,Silver Bluff,690,637,10,3,5,1,3,1349,8,1357
Precinct,Six Points No. 35,603,437,7,2,1,4,1,1055,6,1061
Precinct,Six Points No. 46,121,582,0,1,7,2,0,713,5,718
Precinct,Sleepy Hollow No. 65,1068,362,6,3,4,3,0,1446,8,1454
Precinct,South Aiken No. 75,1020,554,7,4,2,0,1,1588,8,1596
Precinct,South Aiken No. 76,640,371,2,3,2,2,0,1020,6,1026
Precinct,South Creek No. 89,589,279,3,3,0,0,1,875,9,884
Precinct,Tabernacle,305,211,2,2,4,1,0,525,1,526
Precinct,Talatha,1020,518,6,2,5,2,0,1553,4,1557
Precinct,Vaucluse,1088,743,13,6,9,4,1,1864,9,1873
Precinct,Wagener,919,533,6,1,3,8,0,1470,11,1481
Precinct,Ward,695,376,4,2,4,2,0,1083,5,1088
Precinct,Warrenville,977,436,6,3,4,2,3,1431,9,1440
Precinct,White Pond,342,226,0,0,0,0,0,568,3,571
Precinct,Willow Springs,659,200,2,1,3,4,2,871,8,879
Precinct,Windsor No. 43,574,265,5,2,4,0,3,853,4,857
Precinct,Windsor No. 82,520,241,2,5,2,2,0,772,1,773
County,Allendale,813,2165,4,4,29,5,3,3023,28,3051
Precinct,Allendale 01,98,468,1,2,6,1,1,577,4,581
Precinct,Allendale 02,12,486,0,1,7,1,1,508,6,514
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Fairfax 01,110,176,0,0,1,1,0,288,5,293
Precinct,Fairfax 02,77,497,0,0,6,0,1,581,1,582
Precinct,Martin,50,125,0,0,1,0,0,176,4,180
Precinct,Provisional,2,1,0,0,0,0,0,3,0,3
Precinct,Sycamore,177,62,1,0,0,2,0,242,3,245
Precinct,Ulmer,96,44,2,1,1,0,0,144,2,146
Precinct,Woods,191,306,0,0,7,0,0,504,3,507
County,Anderson,71828,25281,439,218,215,232,83,98296,573,98869
Precinct,3 And 20,1742,345,9,1,0,5,2,2104,8,2112
Precinct,5 Forks,1021,325,7,4,1,4,3,1365,8,1373
Precinct,Anderson 01/1,592,392,6,4,6,5,0,1005,3,1008
Precinct,Anderson 01/2,714,275,12,9,1,4,0,1015,5,1020
Precinct,Anderson 02/1,696,318,6,3,4,3,0,1030,9,1039
Precinct,Anderson 02/2,1145,573,6,4,5,11,4,1748,24,1772
Precinct,Anderson 03/1,217,228,4,1,1,1,0,452,6,458
Precinct,Anderson 03/2,325,291,3,3,3,0,0,625,1,626
Precinct,Anderson 04/1,125,431,2,1,4,3,1,567,4,571
Precinct,Anderson 04/2,365,813,2,2,7,1,2,1192,8,1200
Precinct,Anderson 05/b,161,425,3,1,4,3,1,598,9,607
Precinct,Anderson 06/1,830,515,10,7,6,4,4,1376,12,1388
Precinct,Anderson 06/2,204,334,0,2,4,1,2,547,3,550
Precinct,Appleton-Equinox,223,213,0,3,3,1,0,443,3,446
Precinct,Barkers Creek-Mcadams,312,34,0,1,1,0,0,348,0,348
Precinct,Belton,989,307,4,2,3,5,3,1313,10,1323
Precinct,Belton Annex,1011,307,6,4,4,5,3,1340,3,1343
Precinct,Bishops Branch,1192,357,7,5,2,3,1,1567,6,1573
Precinct,Bowling Green,648,140,5,0,1,0,0,794,2,796
Precinct,Broadview,209,257,0,1,4,1,0,472,0,472
Precinct,Broadway,471,140,0,0,2,2,1,616,2,618
Precinct,Brushy Creek,1553,386,8,4,0,5,4,1960,12,1972
Precinct,Cedar Grove,919,172,3,0,0,2,0,1096,5,1101
Precinct,Center Rock,1509,436,7,4,3,3,4,1966,14,1980
Precinct,Centerville Station A,1579,588,11,2,2,6,0,2188,6,2194
Precinct,Centerville Station B,1377,584,10,4,4,3,2,1984,13,1997
Precinct,Chiquola Mill,255,136,2,0,2,1,1,397,4,401
Precinct,Concrete,1742,655,11,5,4,7,2,2426,13,2439
Precinct,Coxs Creek,545,241,5,2,1,3,0,797,6,803
Precinct,Craytonville,723,72,1,0,0,0,1,797,7,804
Precinct,Denver-sandy Springs,1013,355,17,2,5,4,0,1396,8,1404
Precinct,Edgewood Station A,909,506,4,6,4,0,1,1430,10,1440
Precinct,Edgewood Station B,1096,428,7,4,7,1,0,1543,13,1556
Precinct,Failsafe,18,13,0,0,1,0,0,32,1,33
Precinct,Failsafe Provisional,126,23,0,0,0,0,0,149,1,150
Precinct,Flat Rock,797,182,1,1,1,1,1,984,4,988
Precinct,Fork No. 01,978,210,4,7,2,4,0,1205,4,1209
Precinct,Fork No. 02,1090,236,10,5,2,2,1,1346,6,1352
Precinct,Friendship,652,112,1,1,2,2,0,770,8,778
Precinct,Glenview,1030,499,11,1,5,3,0,1549,4,1553
Precinct,Gluck Mill,493,261,2,1,5,1,1,764,6,770
Precinct,Green Pond Station A,1466,416,9,3,6,2,2,1904,13,1917
Precinct,Hall,838,183,3,1,1,1,2,1029,3,1032
Precinct,Hammond Annex,1073,427,10,3,1,5,3,1522,11,1533
Precinct,Hammond School,1488,522,13,7,4,3,1,2038,10,2048
Precinct,High Point,408,51,1,2,1,0,0,463,4,467
Precinct,Homeland Park,273,48,0,0,1,0,0,322,0,322
Precinct,Honea Path,822,189,6,2,3,3,1,1026,2,1028
Precinct,Hopewell,1007,367,8,8,1,4,0,1395,11,1406
Precinct,Hunt Meadows,2776,786,11,8,9,11,2,3603,23,3626
Precinct,Iva,1002,139,3,3,3,1,2,1153,12,1165
Precinct,Jackson Mill,884,111,2,0,2,7,0,1006,11,1017
Precinct,La France,546,192,4,1,1,4,1,749,4,753
Precinct,Lakeside,1115,580,9,0,4,0,0,1708,6,1714
Precinct,Melton,459,121,3,0,0,2,0,585,2,587
Precinct,Mount Tabor,1519,492,10,7,5,9,3,2045,12,2057
Precinct,Mountain Creek,429,122,2,1,3,1,0,558,2,560
Precinct,Mt Airy,1511,363,12,3,3,2,1,1895,23,1918
Precinct,Neals Creek,1012,421,5,2,1,3,1,1445,5,1450
Precinct,North Pointe,1261,379,8,9,1,3,0,1661,8,1669
Precinct,Pelzer,464,87,0,1,1,2,0,555,3,558
Precinct,Pendleton,1651,1255,28,11,3,12,2,2962,25,2987
Precinct,Piedmont,578,169,3,4,1,0,3,758,2,760
Precinct,Piercetown,1525,391,9,2,0,4,3,1934,14,1948
Precinct,Powdersville,1878,660,8,5,6,7,2,2566,12,2578
Precinct,Provisional,67,12,0,0,0,0,0,79,1,80
Precinct,Rock Mill,821,192,4,3,0,0,0,1020,7,1027
Precinct,Rock Springs,499,114,3,1,2,1,1,621,1,622
Precinct,Shirley's Store,533,93,2,1,2,1,2,634,2,636
Precinct,Simpsonville,1636,501,8,2,5,5,0,2157,14,2171
Precinct,South Fant,227,327,2,1,4,1,0,562,3,565
Precinct,Starr,614,62,3,1,1,0,0,681,3,684
Precinct,Toney Creek,475,66,4,0,1,1,0,547,6,553
Precinct,Town Creek,1146,399,7,1,1,6,1,1561,11,1572
Precinct,Townville,543,100,1,2,1,2,0,649,4,653
Precinct,Varennes,365,262,5,0,3,0,0,635,3,638
Precinct,West Pelzer,1293,246,4,3,1,5,2,1554,6,1560
Precinct,West Savannah,352,121,0,0,0,0,0,473,1,474
Precinct,White Plains,2191,469,13,8,7,8,1,2697,7,2704
Precinct,Williamston,1316,391,5,4,2,5,0,1723,10,1733
Precinct,Williamston Mill,1583,272,2,1,6,1,1,1866,5,1871
Precinct,Wright's School,586,68,2,0,2,0,1,659,0,659
County,Bamberg,2376,3245,14,11,25,13,10,5694,77,5771
Precinct,Colston,87,37,0,0,0,0,0,124,2,126
Precinct,East Denmark,257,753,2,5,11,3,3,1034,18,1052
Precinct,Edisto,177,70,0,0,0,0,0,247,4,251
Precinct,Ehrhardt,305,160,0,0,0,0,0,465,3,468
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,1,0,0,0,0,0,1,0,1
Precinct,Govan,35,47,0,0,0,0,0,82,2,84
Precinct,Hightowers Mill,19,22,0,0,0,0,0,41,1,42
Precinct,Hunters Chapel,88,61,1,0,0,0,0,150,2,152
Precinct,Kearse,79,6,0,0,0,0,0,85,0,85
Precinct,Little Swamp,84,9,0,0,0,0,0,93,3,96
Precinct,North Bamberg,631,629,5,2,1,3,1,1272,15,1287
Precinct,Olar,135,76,1,1,0,2,0,215,4,219
Precinct,Provisional,2,1,0,0,0,0,0,3,0,3
Precinct,South Bamberg,336,870,4,1,7,5,2,1225,17,1242
Precinct,West Denmark,141,503,1,2,6,0,4,657,6,663
County,Barnwell,5605,4082,28,22,36,16,14,9803,54,9857
Precinct,Barnwell 01,223,215,0,1,0,2,0,441,1,442
Precinct,Barnwell 02,681,350,9,2,4,1,0,1047,7,1054
Precinct,Barnwell 03,724,424,2,3,5,2,1,1161,3,1164
Precinct,Barnwell 04,378,499,3,2,2,0,1,885,2,887
Precinct,Blackville 01,212,371,0,1,5,0,3,592,6,598
Precinct,Blackville 02,128,236,2,0,4,1,2,373,2,375
Precinct,Elko,236,172,1,1,0,3,0,413,1,414
Precinct,Failsafe,9,17,0,0,0,0,0,26,0,26
Precinct,Failsafe Provisional,5,3,0,0,0,0,0,8,0,8
Precinct,Friendship,488,33,1,3,1,0,0,526,4,530
Precinct,Healing Springs,151,368,2,0,2,0,0,523,8,531
Precinct,Hilda,614,56,1,0,1,0,1,673,1,674
Precinct,Kline,255,155,0,2,1,0,2,415,1,416
Precinct,Provisional,3,4,0,0,0,0,0,7,0,7
Precinct,Snelling,469,333,2,5,2,0,1,812,5,817
Precinct,Williston 01,368,499,3,1,8,2,2,883,11,894
Precinct,Williston 02,290,118,1,1,0,2,0,412,1,413
Precinct,Williston 03,371,229,1,0,1,3,1,606,1,607
County,Beaufort,59123,44002,535,308,181,180,74,104403,1011,105414
Precinct,Beaufort 01,219,403,3,5,4,3,1,638,6,644
Precinct,Beaufort 02,380,407,6,1,2,2,0,798,16,814
Precinct,Beaufort 03,586,480,8,4,1,1,1,1081,14,1095
Precinct,Belfair 01,566,321,6,1,1,0,1,896,10,906
Precinct,Belfair 02,565,333,2,1,0,1,1,903,10,913
Precinct,Bluffton 01a,382,267,3,1,1,0,0,654,3,657
Precinct,Bluffton 01b,481,240,3,3,0,0,1,728,2,730
Precinct,Bluffton 01c,440,247,1,1,1,1,0,691,4,695
Precinct,Bluffton 01d,170,194,1,4,0,4,1,374,2,376
Precinct,Bluffton 02a,461,303,3,5,3,1,1,777,2,779
Precinct,Bluffton 02b,501,392,5,3,2,3,1,907,5,912
Precinct,Bluffton 02c,876,455,10,4,3,3,2,1353,5,1358
Precinct,Bluffton 02d,382,217,4,7,0,0,1,611,5,616
Precinct,Bluffton 02e,434,572,5,2,4,1,1,1019,4,1023
Precinct,Bluffton 03,702,318,8,1,1,1,1,1032,16,1048
Precinct,Bluffton 04a,910,345,4,1,0,0,0,1260,17,1277
Precinct,Bluffton 04b,441,152,4,3,1,1,0,602,4,606
Precinct,Bluffton 04c,744,368,5,0,0,2,0,1119,3,1122
Precinct,Bluffton 04d,621,323,5,0,0,0,0,949,10,959
Precinct,Bluffton 04e,460,280,3,3,2,2,1,751,4,755
Precinct,Bluffton 05a,599,338,2,5,0,5,0,949,4,953
Precinct,Bluffton 05b,521,338,1,2,2,0,0,864,5,869
Precinct,Bluffton 05c,323,289,0,2,1,1,0,616,3,619
Precinct,Bluffton 05d,419,160,2,1,2,2,1,587,2,589
Precinct,Bluffton 05e,395,279,2,1,2,2,2,683,4,687
Precinct,Bluffton 06a,483,248,3,0,2,0,0,736,7,743
Precinct,Bluffton 06b,597,285,4,1,0,0,0,887,5,892
Precinct,Bluffton 07a,872,531,4,5,1,2,0,1415,12,1427
Precinct,Buckwalter 01,529,307,3,3,1,0,1,844,4,848
Precinct,Buckwalter 02,430,210,3,1,0,0,0,644,5,649
Precinct,Burton 01a,405,258,4,4,2,0,1,674,3,677
Precinct,Burton 01b,199,566,8,4,4,1,1,783,5,788
Precinct,Burton 01c,515,476,6,2,1,1,0,1001,12,1013
Precinct,Burton 01d,240,177,0,1,3,2,0,423,3,426
Precinct,Burton 02a,498,297,5,1,1,2,1,805,7,812
Precinct,Burton 02b,496,250,3,2,3,3,0,757,5,762
Precinct,Burton 02c,644,355,3,2,2,2,2,1010,6,1016
Precinct,Burton 02d,455,339,5,2,3,1,1,806,6,812
Precinct,Burton 03a,471,428,4,2,0,2,1,908,4,912
Precinct,Burton 03b,136,191,0,0,3,1,1,332,1,333
Precinct,Burton 04,176,307,1,1,5,0,1,491,4,495
Precinct,Burton 05a,418,246,9,3,1,0,0,677,6,683
Precinct,Burton 05b,317,361,1,1,3,0,1,684,3,687
Precinct,Chechessee 01,448,295,4,4,0,3,0,754,11,765
Precinct,Chechessee 02,573,312,5,2,0,0,1,893,8,901
Precinct,Chechessee 03,502,273,5,1,1,0,0,782,7,789
Precinct,Dale Lobeco,284,473,5,3,4,2,2,773,6,779
Precinct,Daufuskie,232,148,3,1,1,2,1,388,4,392
Precinct,Failsafe,117,102,1,1,1,0,1,223,0,223
Precinct,Failsafe Provisional,17,21,0,0,0,0,0,38,1,39
Precinct,Hilton Head 01a,509,445,3,1,2,1,2,963,4,967
Precinct,Hilton Head 01b,485,475,3,0,5,0,1,969,11,980
Precinct,Hilton Head 02a,543,515,5,1,3,1,1,1069,6,1075
Precinct,Hilton Head 02b,287,301,3,2,3,1,0,597,8,605
Precinct,Hilton Head 02c,378,251,0,0,3,3,1,636,14,650
Precinct,Hilton Head 02d,229,298,4,3,2,0,2,538,4,542
Precinct,Hilton Head 02e,526,314,5,2,1,1,0,849,11,860
Precinct,Hilton Head 03,563,278,2,4,0,1,0,848,12,860
Precinct,Hilton Head 04a,377,314,10,2,0,0,0,703,13,716
Precinct,Hilton Head 04b,583,522,5,6,0,4,0,1120,20,1140
Precinct,Hilton Head 04c,447,370,6,0,1,2,0,826,13,839
Precinct,Hilton Head 04d,490,398,0,2,0,2,1,893,11,904
Precinct,Hilton Head 05a,454,392,8,5,1,3,0,863,13,876
Precinct,Hilton Head 05b,437,343,10,0,0,0,0,790,16,806
Precinct,Hilton Head 05c,436,296,3,3,2,7,0,747,4,751
Precinct,Hilton Head 06,688,498,5,8,0,0,2,1201,13,1214
Precinct,Hilton Head 07a,571,402,2,4,1,0,0,980,13,993
Precinct,Hilton Head 07b,415,270,5,1,1,3,0,695,4,699
Precinct,Hilton Head 07c,377,247,4,1,0,1,0,630,15,645
Precinct,Hilton Head 08,348,284,6,2,0,1,1,642,10,652
Precinct,Hilton Head 09a,279,223,3,3,0,1,0,509,5,514
Precinct,Hilton Head 09b,438,224,6,0,1,0,1,670,13,683
Precinct,Hilton Head 09c,382,312,4,2,0,3,0,703,4,707
Precinct,Hilton Head 09d,403,175,1,1,0,0,0,580,4,584
Precinct,Hilton Head 10,382,284,8,2,1,1,0,678,5,683
Precinct,Hilton Head 11,561,377,4,2,1,3,1,949,14,963
Precinct,Hilton Head 12,269,241,7,3,0,2,2,524,7,531
Precinct,Hilton Head 13,412,281,4,2,0,3,0,702,5,707
Precinct,Hilton Head 14,464,340,2,1,0,1,0,808,11,819
Precinct,Hilton Head 15a,266,225,3,0,0,0,0,494,7,501
Precinct,Hilton Head 15b,442,302,3,2,0,2,0,751,19,770
Precinct,Ladys Island 01a,291,221,10,2,5,2,0,531,2,533
Precinct,Ladys Island 01b,250,330,5,3,3,2,1,594,4,598
Precinct,Ladys Island 02a,362,177,3,0,0,0,1,543,3,546
Precinct,Ladys Island 02b,780,434,8,3,1,4,2,1232,19,1251
Precinct,Ladys Island 02c,454,288,4,5,2,2,0,755,8,763
Precinct,Ladys Island 03a,506,346,8,1,0,4,1,866,13,879
Precinct,Ladys Island 03b,654,361,4,7,0,2,0,1028,8,1036
Precinct,Ladys Island 03c,477,274,5,1,1,4,0,762,9,771
Precinct,Ladys Island 04a,433,357,3,4,2,1,0,800,6,806
Precinct,Ladys Island 04b,441,246,5,2,0,2,0,696,15,711
Precinct,Ladys Island 04c,528,259,4,5,0,1,0,797,5,802
Precinct,Moss Creek,754,582,5,3,1,0,0,1345,18,1363
Precinct,Mossy Oaks 01a,384,270,6,5,2,0,0,667,12,679
Precinct,Mossy Oaks 01b,557,360,5,2,3,2,1,930,5,935
Precinct,Mossy Oaks 02,433,321,4,3,3,1,1,766,5,771
Precinct,New River 01,1239,669,7,5,1,0,2,1923,9,1932
Precinct,New River 02,688,353,1,5,1,1,1,1050,5,1055
Precinct,Palmetto Bluff,637,318,10,1,0,2,0,968,16,984
Precinct,Port Royal 01,459,369,4,4,3,0,0,839,10,849
Precinct,Port Royal 02,363,399,7,4,2,3,2,780,5,785
Precinct,Pritchardville 01,607,300,7,2,1,5,1,923,8,931
Precinct,Provisional,102,94,1,0,0,0,0,197,0,197
Precinct,Riverbend,784,409,7,4,0,2,0,1206,6,1212
Precinct,Rose Hill 01,368,159,3,1,0,0,1,532,5,537
Precinct,Rose Hill 02,624,369,4,1,0,1,1,1000,10,1010
Precinct,Sandy Pointe,473,367,4,1,1,2,0,848,3,851
Precinct,Seabrook 01,328,329,3,1,3,1,1,666,0,666
Precinct,Seabrook 02,250,392,7,1,1,1,0,652,10,662
Precinct,Seabrook 03,410,477,5,2,4,2,0,900,5,905
Precinct,Sheldon 01,398,412,3,6,7,1,0,827,11,838
Precinct,Sheldon 02,87,419,1,1,1,0,1,510,7,517
Precinct,Spanish Wells,406,375,8,8,1,3,0,801,9,810
Precinct,St. Helena 01a,248,689,3,2,6,1,3,952,7,959
Precinct,St. Helena 01b,294,632,3,5,7,5,2,948,17,965
Precinct,St. Helena 01c,774,510,7,3,0,2,1,1297,18,1315
Precinct,St. Helena 02a,402,568,5,4,4,2,1,986,7,993
Precinct,St. Helena 02b,233,629,1,5,4,0,0,872,7,879
Precinct,St. Helena 02c,644,330,3,2,0,1,0,980,8,988
Precinct,Sun City 01,629,549,4,3,1,1,0,1187,12,1199
Precinct,Sun City 02,461,418,4,2,1,1,0,887,8,895
Precinct,Sun City 03,421,337,1,3,0,0,0,762,5,767
Precinct,Sun City 04,631,457,4,2,2,1,0,1097,11,1108
Precinct,Sun City 05,708,480,3,2,1,1,1,1196,15,1211
Precinct,Sun City 06,598,499,7,2,2,2,0,1110,8,1118
Precinct,Sun City 07,507,407,5,4,0,2,0,925,8,933
Precinct,Sun City 08,292,268,0,0,0,1,0,561,9,570
Precinct,Sun City 09,339,231,2,1,0,2,1,576,9,585
Precinct,Sun City 10,342,288,3,2,1,0,0,636,7,643
County,Berkeley,64777,46416,615,337,331,204,154,112834,704,113538
Precinct,52,657,712,6,2,5,1,1,1384,5,1389
Precinct,78,600,498,6,3,4,1,1,1113,4,1117
Precinct,Alvin,314,298,3,0,1,0,2,618,6,624
Precinct,Bethera,181,11,0,2,1,0,0,195,0,195
Precinct,Beverly Hills,375,421,4,4,4,1,0,809,4,813
Precinct,Bonneau,680,281,2,2,3,4,3,975,3,978
Precinct,Bonneau Beach,934,211,4,1,0,1,1,1152,8,1160
Precinct,Boulder Bluff,643,793,10,14,6,2,6,1474,2,1476
Precinct,Bushy Park,38,6,0,0,0,0,0,44,0,44
Precinct,Cainhoy,408,618,3,5,4,4,3,1045,8,1053
Precinct,Cane Bay,1692,1225,17,16,5,6,2,2963,14,2977
Precinct,Cane Bay East,909,600,5,3,0,3,1,1521,19,1540
Precinct,Cane Bay North,1899,1170,8,7,6,4,3,3097,18,3115
Precinct,Cane Bay South,833,548,9,4,3,1,0,1398,7,1405
Precinct,Carnes Cross Roads 01,867,192,4,3,3,0,1,1070,2,1072
Precinct,Carnes Cross Roads 02,1246,736,12,1,0,2,2,1999,15,2014
Precinct,Central,828,765,4,8,6,3,1,1615,12,1627
Precinct,Cobblestone,571,610,6,5,9,2,3,1206,3,1209
Precinct,Cordesville,612,301,5,1,3,3,1,926,2,928
Precinct,Cross,544,311,2,1,7,3,1,869,5,874
Precinct,Cypress,695,635,6,4,4,2,1,1347,6,1353
Precinct,Daniel Island 01,1521,750,19,5,3,5,1,2304,42,2346
Precinct,Daniel Island 02,730,694,17,6,2,4,1,1454,12,1466
Precinct,Daniel Island 03,896,730,13,3,2,3,1,1648,17,1665
Precinct,Daniel Island 04,1458,975,18,7,2,2,0,2462,25,2487
Precinct,Devon Forest 01,701,577,4,4,6,3,2,1297,10,1307
Precinct,Devon Forest 02,554,429,12,1,3,1,1,1001,1,1002
Precinct,Discovery,676,726,9,2,6,2,1,1422,6,1428
Precinct,Eadytown,166,298,1,0,3,1,2,471,2,473
