County,"Donald J. Trump
Republican","Kamala D. Harris
Democratic","Robert F. Kennedy, Jr.
Independent","Chase Oliver
Libertarian","Jill Stein
Independent","Joel Skousen
Constitutional","Claudia De la Cruz
Independent","Randall Terry
Independent","Shiva Ayyadurai
Independent","Peter Sonski
Independent","Brian Larry Kienitz
Independent","Blank Votes","Spoiled Votes","Total Votes Cast","Total Ballots Cast"
"Precinct 58","1,192",235,21,4,5,4,1,1,0,1,0,28,0,"1,464","1,492"
"Precinct 59","1,214",227,22,9,3,5,2,3,0,1,0,37,0,"1,486","1,523"
Boundary,"5,794","1,145",81,25,18,28,3,7,9,0,0,142,5,"7,110","7,257"
"Precinct Absentee","1,945",673,23,9,7,7,0,3,1,0,0,50,3,"2,668","2,721"
"Precinct Bonners Ferry/Kootenai",512,90,12,0,2,2,1,2,0,0,0,13,0,621,634
"Precinct Copeland",488,42,1,5,0,1,0,0,1,0,0,10,0,538,548
"Precinct Moyie Springs",957,97,15,2,2,7,1,1,1,0,0,24,0,"1,083","1,107"
"Precinct N. Bonners Ferry",681,96,11,2,3,5,1,1,4,0,0,20,0,804,824
"Precinct Naples",731,85,9,2,2,5,0,0,0,0,0,14,2,834,850
"Precinct Valley View",480,62,10,5,2,1,0,0,2,0,0,11,0,562,573
Butte,"1,268",185,18,1,0,7,2,4,9,0,0,8,5,"1,494","1,507"
"Precinct Arco 1",411,77,8,0,0,2,1,1,4,0,0,4,2,504,510
"Precinct Arco 2",252,44,5,1,0,2,0,2,2,0,0,2,3,308,313
"Precinct Howe",165,5,2,0,0,0,0,0,2,0,0,0,0,174,174
"Precinct Moore",440,59,3,0,0,3,1,1,1,0,0,2,0,508,510
Camas,547,153,18,4,3,1,0,2,0,0,0,6,0,728,734
"Precinct 1",250,88,3,2,2,0,0,0,0,0,0,2,0,345,347
"Precinct 2",297,65,15,2,1,1,0,2,0,0,0,4,0,383,387
Canyon,"72,755","25,669","1,315",442,294,162,169,125,70,29,0,"1,096",306,"101,030","102,432"
"Precinct 0109","1,924",354,22,7,2,1,3,2,3,0,0,20,11,"2,318","2,349"
"Precinct 0209",937,175,18,5,5,2,1,0,0,0,0,7,3,"1,143","1,153"
"Precinct 0309",706,117,15,2,1,0,1,3,0,0,0,11,2,845,858
"Precinct 0409","1,639",423,25,11,8,1,2,7,2,1,0,29,14,"2,119","2,162"
"Precinct 0509",705,158,8,3,1,3,0,0,1,0,0,13,2,879,894
"Precinct 0609",753,174,10,3,5,0,1,4,0,0,0,9,3,950,962
"Precinct 0710","1,395",257,26,8,1,0,1,0,1,0,0,18,6,"1,689","1,713"
"Precinct 0810","2,552",430,31,14,7,7,1,1,2,0,0,30,5,"3,045","3,080"
"Precinct 0910","2,985",620,46,12,8,4,2,8,2,3,0,36,28,"3,690","3,754"
"Precinct 1010","2,966",514,47,12,6,6,4,5,1,0,0,43,5,"3,561","3,609"
"Precinct 1110",79,15,2,0,0,0,0,0,0,0,0,0,0,96,96
"Precinct 1210","2,909",800,29,17,7,5,4,4,4,0,0,33,0,"3,779","3,812"
"Precinct 1310",143,38,3,3,1,0,1,0,0,0,0,4,0,189,193
"Precinct 1410",521,126,6,4,0,0,0,0,0,0,0,5,2,657,664
"Precinct 1510","2,031",691,32,13,11,4,2,3,1,0,0,19,12,"2,788","2,819"
"Precinct 1610",397,172,7,3,6,0,2,3,0,0,0,8,0,590,598
"Precinct 1710","2,165",913,32,32,12,7,6,4,2,2,0,35,1,"3,175","3,211"
"Precinct 1811","1,354",613,25,6,8,2,7,3,4,0,0,27,5,"2,022","2,054"
"Precinct 1911","2,092",735,40,12,7,7,6,1,1,0,0,26,1,"2,901","2,928"
"Precinct 2011",666,349,14,5,2,3,4,2,2,1,0,14,6,"1,048","1,068"
"Precinct 2111",924,682,26,6,5,3,4,1,1,3,0,27,13,"1,655","1,695"
"Precinct 2211","1,164",666,22,4,12,5,2,4,2,1,0,27,6,"1,882","1,915"
"Precinct 2311","2,082","1,015",52,19,12,7,10,8,2,2,0,40,4,"3,209","3,253"
"Precinct 2411",668,384,18,4,3,0,5,1,2,1,0,2,1,"1,086","1,089"
"Precinct 2511","1,458",711,34,14,2,0,6,4,1,0,0,19,10,"2,230","2,259"
"Precinct 2611","1,002",434,19,9,9,0,5,1,1,2,0,15,3,"1,482","1,500"
"Precinct 2712","1,734",642,34,10,3,7,0,2,2,0,0,28,4,"2,434","2,466"
"Precinct 2812","1,205",653,25,5,8,4,3,0,2,0,0,9,9,"1,905","1,923"
"Precinct 2912","1,916",777,31,6,8,2,2,2,2,0,0,20,17,"2,746","2,783"
"Precinct 3012","1,124",300,16,4,1,3,1,3,1,0,0,18,2,"1,453","1,473"
"Precinct 3112","1,302",799,28,11,10,4,3,6,0,1,0,20,4,"2,164","2,188"
"Precinct 3212","2,147",959,43,15,12,8,6,5,4,0,0,30,9,"3,199","3,238"
"Precinct 3312","2,710",927,44,16,11,6,7,3,4,1,0,44,9,"3,729","3,782"
"Precinct 3412","1,259",579,31,7,5,6,8,0,2,2,0,30,6,"1,899","1,935"
"Precinct 3512","2,221",881,41,9,6,3,3,2,2,1,0,46,16,"3,169","3,231"
"Precinct 3613",975,279,18,8,6,6,5,0,0,0,0,13,1,"1,297","1,311"
"Precinct 3713","1,163",405,33,8,12,4,4,1,0,0,0,15,12,"1,630","1,657"
"Precinct 3813","2,601",782,39,12,9,5,4,3,2,0,0,45,5,"3,457","3,507"
"Precinct 3913","1,480",566,42,5,7,4,4,5,2,2,0,29,3,"2,117","2,149"
"Precinct 4013",867,568,21,4,7,1,7,4,1,0,0,9,3,"1,480","1,492"
"Precinct 4113",724,581,19,6,7,2,4,3,2,2,0,12,4,"1,350","1,366"
"Precinct 4213","1,019",431,23,11,4,3,3,0,0,0,0,22,7,"1,494","1,523"
"Precinct 4313","1,209",800,41,13,7,3,11,3,2,0,0,16,9,"2,089","2,114"
"Precinct 4413","2,333",741,50,7,6,5,3,1,1,1,0,26,5,"3,148","3,179"
"Precinct 4513","1,211",552,31,11,6,8,2,2,1,0,0,14,20,"1,824","1,858"
"Precinct 4613","1,594",624,23,14,5,3,5,2,1,3,0,35,6,"2,274","2,315"
"Precinct 4723",296,75,1,3,1,1,0,1,1,0,0,12,0,379,391
"Precinct 4823","1,601",416,19,11,6,2,0,5,0,0,0,18,2,"2,060","2,080"
"Precinct 4923",968,208,13,2,2,1,1,0,0,0,0,14,0,"1,195","1,209"
"Precinct 5023","1,855",420,25,9,3,4,2,3,2,0,0,38,8,"2,323","2,369"
"Precinct 5123","1,024",138,15,7,1,0,1,0,1,0,0,16,2,"1,187","1,205"
Caribou,"2,906",445,62,15,7,11,2,4,4,0,0,46,17,"3,456","3,519"
"Precinct Bancroft",366,39,6,2,0,0,0,1,1,0,0,6,1,415,422
"Precinct Freedom",64,8,2,0,0,0,1,0,0,0,0,1,0,75,76
"Precinct Grace 1",473,63,2,2,0,3,0,0,1,0,0,11,2,544,557
"Precinct Grace 2",425,43,10,2,1,3,0,0,0,0,0,2,3,484,489
"Precinct Soda 1",384,65,8,0,0,1,0,1,1,0,0,5,1,460,466
"Precinct Soda 2",362,73,7,3,2,1,0,1,0,0,0,5,3,449,457
"Precinct Soda 3",391,89,16,5,4,2,0,0,1,0,0,13,3,508,524
"Precinct Soda 4",388,61,9,1,0,1,1,1,0,0,0,3,4,462,469
"Precinct Wayan",53,4,2,0,0,0,0,0,0,0,0,0,0,59,59
Cassia,"7,959","1,359",147,18,15,24,19,11,5,1,0,78,11,"9,558","9,647"
"Precinct 101 Burley 1",306,127,8,0,2,2,6,1,0,0,0,1,4,452,457
"Precinct 102 Burley 2",275,62,2,1,0,0,0,0,0,0,0,2,0,340,342
"Precinct 103 Burley 3",503,129,7,1,1,1,2,1,0,0,0,9,0,645,654
"Precinct 104 Burley 4",676,138,19,1,2,4,1,0,1,0,0,14,1,842,857
"Precinct 105 Burley 5",519,118,10,3,1,1,0,1,0,0,0,3,2,653,658
"Precinct 106 Burley 6",453,137,9,1,1,3,2,1,0,0,0,7,1,607,615
"Precinct 107 Albion",313,44,2,1,3,1,0,0,0,0,0,0,0,364,364
"Precinct 108 Almo",123,17,1,0,0,2,0,0,1,0,0,0,0,144,144
"Precinct 109 Bridge",47,0,4,0,0,0,0,0,0,0,0,0,0,51,51
"Precinct 110 Declo",693,89,12,1,1,0,2,1,1,0,0,1,0,800,801
"Precinct 111 Elba",103,8,1,0,0,0,0,0,0,0,0,2,0,112,114
"Precinct 112 Grandview",582,95,12,3,2,2,2,2,0,0,0,4,0,700,704
"Precinct 113 Heglar Yale",85,7,1,0,0,0,0,0,0,0,0,3,0,93,96
"Precinct 114 Jackson",197,33,6,0,0,0,0,1,0,0,0,4,0,237,241
"Precinct 115 Malta",309,14,3,0,0,1,0,0,0,0,0,0,0,327,327
"Precinct 116 Oakley 1",273,32,2,1,0,1,0,0,0,0,0,5,0,309,314
"Precinct 117 Oakley 2",360,24,5,0,0,0,0,1,0,1,0,5,0,391,396
"Precinct 118 Parsons",61,4,3,0,0,0,0,0,0,0,0,0,0,68,68
"Precinct 119 Pella",255,30,7,0,0,0,1,0,1,0,0,7,0,294,301
"Precinct 120 Springdale",498,77,9,1,1,1,1,2,0,0,0,5,1,590,596
"Precinct 121 Starrh's Ferry",590,78,14,1,1,3,2,0,0,0,0,0,1,689,690
"Precinct 122 Sublett",37,6,0,0,0,0,0,0,0,0,0,0,0,43,43
"Precinct 123 Unity",493,84,9,3,0,2,0,0,1,0,0,5,1,592,598
"Precinct 124 View",208,6,1,0,0,0,0,0,0,0,0,1,0,215,216
Clark,280,50,1,0,0,0,2,0,0,0,0,6,0,333,339
"Precinct 1",100,21,0,0,0,0,0,0,0,0,0,2,0,121,123
"Precinct 2",82,15,1,0,0,0,1,0,0,0,0,3,0,99,102
"Precinct 3",98,14,0,0,0,0,1,0,0,0,0,1,0,113,114
Clearwater,"3,550",774,56,9,16,3,2,8,0,2,0,39,4,"4,420","4,463"
"Precinct Ahsahka #11",252,75,3,0,0,0,0,0,0,0,0,2,1,330,333
"Precinct Elk River #13",62,22,0,0,1,0,0,0,0,0,0,2,1,85,88
"Precinct Fraser #6",106,10,2,0,0,0,0,1,0,0,0,3,0,119,122
"Precinct Grangemont #14",107,19,0,0,0,1,0,0,0,0,0,2,0,127,129
"Precinct Greer #7",35,8,1,0,0,0,0,0,0,0,0,1,0,44,45
"Precinct Headquarters #10",45,7,0,0,0,0,0,0,0,0,0,2,0,52,54
"Precinct Orofino #1",474,101,9,1,2,0,0,1,0,0,0,7,0,588,595
"Precinct Orofino #2",429,100,9,4,0,0,1,0,0,0,0,5,0,543,548
"Precinct Orofino #3",499,111,7,2,8,0,1,2,0,1,0,4,0,631,635
"Precinct Orofino #4",302,64,6,1,0,2,0,2,0,1,0,0,0,378,378
"Precinct Orofino #5",370,118,12,1,3,0,0,0,0,0,0,5,1,504,510
"Precinct Pierce #12",254,45,3,0,0,0,0,0,0,0,0,2,1,302,305
"Precinct Teakean #8",196,34,1,0,1,0,0,0,0,0,0,1,0,232,233
"Precinct Weippe #9",419,60,3,0,1,0,0,2,0,0,0,3,0,485,488
Custer,"1,998",586,33,9,10,5,3,4,2,0,0,28,2,"2,650","2,680"
"Precinct Battleground",112,18,4,0,1,0,0,1,0,0,0,2,0,136,138
"Precinct Challis",389,127,8,1,2,0,2,1,0,0,0,9,0,530,539
"Precinct Clayton",106,35,0,0,0,1,0,0,0,0,0,0,0,142,142
"Precinct Leslie",352,65,4,6,3,2,0,0,0,0,0,4,1,432,437
"Precinct Mackay",180,87,5,0,1,0,0,0,0,0,0,2,0,273,275
"Precinct Round Valley I",412,61,8,0,2,0,1,1,1,0,0,1,1,486,488
"Precinct Round Valley II",314,54,1,2,0,2,0,1,0,0,0,5,0,374,379
"Precinct Stanley",72,135,0,0,1,0,0,0,1,0,0,5,0,209,214
"Precinct Sunol",61,4,3,0,0,0,0,0,0,0,0,0,0,68,68
Elmore,"7,791","2,611",145,44,28,24,12,11,6,0,0,83,0,"10,672","10,755"
"Precinct Atlanta",22,13,0,0,0,0,0,0,0,0,0,0,0,35,35
"Precinct Chattin Flats",48,6,1,0,0,0,0,0,0,0,0,0,0,55,55
"Precinct Glenns Ferry",528,148,8,3,3,2,1,0,0,0,0,8,0,693,701
"Precinct Hammett",196,38,4,1,0,1,0,0,0,0,0,3,0,240,243
"Precinct King Hill",127,40,0,2,0,1,0,0,0,0,0,1,0,170,171
"Precinct Mayfield",205,65,3,1,1,0,1,1,0,0,0,3,0,277,280
"Precinct Mountain Home 1",522,163,10,2,2,1,1,0,1,0,0,1,0,702,703
"Precinct Mountain Home 2",799,288,17,5,4,2,0,0,0,0,0,11,0,"1,115","1,126"
"Precinct Mountain Home 3",516,238,13,6,6,1,1,2,1,0,0,8,0,784,792
"Precinct Mountain Home 4",630,200,13,2,3,2,0,0,1,0,0,7,0,851,858
"Precinct Mountain Home 5",797,250,19,4,3,3,1,2,0,0,0,9,0,"1,079","1,088"
"Precinct Mountain Home 6",512,217,16,3,1,4,1,2,2,0,0,5,0,758,763
"Precinct Mountain Home 7",561,205,4,1,1,5,1,0,0,0,0,3,0,778,781
"Precinct Mountain Home 8","1,381",458,24,7,3,0,1,1,1,0,0,7,0,"1,876","1,883"
"Precinct Mountain Home 9",804,252,11,6,1,2,4,3,0,0,0,16,0,"1,083","1,099"
"Precinct Pine",88,20,1,0,0,0,0,0,0,0,0,1,0,109,110
"Precinct Prairie",55,10,1,1,0,0,0,0,0,0,0,0,0,67,67
Franklin,"6,279",703,112,28,11,39,2,7,3,0,0,89,25,"7,184","7,298"
"Precinct 01 Preston",448,60,11,2,1,3,1,2,1,0,0,11,3,529,543
"Precinct 02 Preston",499,61,7,4,1,4,0,0,1,0,0,5,2,577,584
"Precinct 03 Preston",425,39,9,1,1,0,0,0,0,0,0,1,0,475,476
"Precinct 04 Preston",367,66,8,1,0,1,0,0,0,0,0,7,0,443,450
"Precinct 05 Preston",478,54,4,1,0,3,0,0,0,0,0,0,2,540,542
"Precinct 06 Banida",148,15,6,0,0,1,0,0,0,0,0,0,0,170,170
"Precinct 07 Clifton-Oxford",273,27,8,1,1,3,0,0,0,0,0,9,0,313,322
"Precinct 08 Dayton",404,37,7,2,1,2,0,2,0,0,0,4,4,455,463
"Precinct 09 Fairview",432,65,8,2,0,3,1,0,0,0,0,2,2,511,515
"Precinct 10 Franklin",689,75,8,4,5,4,0,0,0,0,0,8,5,785,798
"Precinct 11 Mapleton",294,25,3,5,0,2,0,0,1,0,0,3,1,330,334
"Precinct 12 Mink Creek",155,23,4,0,0,2,0,2,0,0,0,3,0,186,189
"Precinct 13 Cleveland",37,8,1,0,0,0,0,0,0,0,0,0,1,46,47
"Precinct 14 Treasureton",343,25,9,0,0,5,0,1,0,0,0,10,0,383,393
"Precinct 15 Weston",485,40,3,1,0,3,0,0,0,0,0,10,2,532,544
"Precinct 16 Whitney",366,29,9,1,0,3,0,0,0,0,0,7,2,408,417
"Precinct 17 Wormcreek",374,47,6,2,1,0,0,0,0,0,0,8,0,430,438
"Precinct 18 Mound Valley",62,7,1,1,0,0,0,0,0,0,0,1,1,71,73
Fremont,"5,645",954,116,27,20,22,8,9,2,0,0,70,3,"6,803","6,876"
"Precinct 1",476,202,14,4,2,0,0,0,0,0,0,10,0,698,708
"Precinct 2",546,47,14,1,0,8,0,0,1,0,0,10,0,617,627
"Precinct 3",370,48,5,1,1,1,1,1,0,0,0,7,0,428,435
"Precinct 4",352,58,10,2,0,1,1,1,0,0,0,6,0,425,431
"Precinct 5",262,66,5,4,1,2,0,0,1,0,0,3,0,341,344
"Precinct 6",483,82,7,2,1,2,0,2,0,0,0,10,0,579,589
"Precinct 7",461,102,12,4,2,1,0,2,0,0,0,3,1,584,588
"Precinct 8",594,85,10,1,3,1,1,0,0,0,0,5,0,695,700
"Precinct 9",378,68,7,4,3,1,1,0,0,0,0,0,1,462,463
"Precinct 10",594,74,6,1,2,2,0,2,0,0,0,5,0,681,686
"Precinct 11",623,56,17,1,3,3,1,1,0,0,0,8,0,705,713
"Precinct 12",317,49,7,1,2,0,3,0,0,0,0,3,0,379,382
"Precinct 13",189,17,2,1,0,0,0,0,0,0,0,0,1,209,210
Gem,"8,707","1,699",114,36,27,17,6,13,1,0,0,98,11,"10,620","10,729"
"Precinct 01 Central",313,62,2,3,1,0,0,1,0,0,0,7,0,382,389
"Precinct 02 N. Emmett",254,54,8,1,1,1,0,0,0,0,0,4,1,319,324
"Precinct 03 Butteview",375,96,8,1,3,0,2,1,0,0,0,2,0,486,488
"Precinct 04 S. Emmett",324,80,6,3,2,1,0,3,0,0,0,3,1,419,423
"Precinct 05 W. Emmett",545,64,5,2,2,1,2,2,0,0,0,2,0,623,625
"Precinct 06 Emerson",533,66,3,2,2,1,0,0,1,0,0,9,0,608,617
"Precinct 07 Lincoln",381,68,9,2,1,0,0,0,0,0,0,2,0,461,463
"Precinct 08 Letha",527,53,5,4,3,1,1,1,0,0,0,4,1,595,600
"Precinct 09 Hanna",484,43,6,0,3,0,0,1,0,0,0,4,0,537,541
"Precinct 10 Brick",324,42,5,1,1,0,0,0,0,0,0,5,0,373,378
"Precinct 11 Bench",436,56,6,4,1,1,0,0,0,0,0,3,1,504,508
"Precinct 12 Sweet/Montour",313,49,1,0,1,2,0,1,0,0,0,10,1,367,378
"Precinct 13 Ola",80,18,0,1,0,0,0,1,0,0,0,0,0,100,100
"Precinct 14 Absentee","3,818",948,50,12,6,9,1,2,0,0,0,43,6,"4,846","4,895"
Gooding,"4,676","1,100",80,23,10,7,8,9,5,0,0,54,4,"5,918","5,976"
"Precinct P2 Gooding City",923,291,24,3,2,1,1,2,0,0,0,17,1,"1,247","1,265"
"Precinct P3 Gooding Rural","1,139",212,27,11,1,2,2,2,2,0,0,13,2,"1,398","1,413"
"Precinct P4 Wendell City",579,193,5,3,4,0,3,2,2,0,0,7,1,791,799
"Precinct P5 Wendell Rural",722,115,8,3,2,2,0,2,0,0,0,5,0,854,859
"Precinct P6 Bliss",233,72,9,0,0,1,1,0,1,0,0,1,0,317,318
"Precinct P7 Hagerman","1,080",217,7,3,1,1,1,1,0,0,0,11,0,"1,311","1,322"
Idaho,"8,148","1,460",141,24,18,23,6,26,12,9,0,118,13,"9,867","9,998"
"Precinct 001-Big Butte",85,11,0,0,0,0,0,0,0,0,0,0,1,96,97
"Precinct 002-Clearwater",232,25,2,0,0,0,0,0,1,0,0,2,1,260,263
"Precinct 003-Cottonwood #1",234,24,4,0,0,1,0,2,0,1,0,5,0,266,271
"Precinct 004-Cottonwood #2",204,37,5,1,1,0,0,1,0,0,0,3,0,249,252
"Precinct 005-Elk City",147,14,0,1,0,0,0,0,0,0,0,2,0,162,164
"Precinct 006-Fenn",97,12,0,0,0,0,0,0,0,0,0,1,0,109,110
"Precinct 007-Ferdinand",139,19,4,0,0,1,0,1,0,0,0,1,1,164,166
"Precinct 008-Greencreek",131,17,4,1,0,0,1,0,0,2,0,3,2,156,161
"Precinct 009-Glover",172,20,3,0,0,4,0,0,1,0,0,2,0,200,202
"Precinct 010-Grangeville #1",280,29,9,2,1,1,0,2,0,1,0,6,2,325,333
"Precinct 011-Grangeville #2",212,28,5,0,1,1,0,1,1,0,0,3,0,249,252
"Precinct 012-Grangeville #3",226,36,4,1,0,0,0,1,0,0,0,3,0,268,271
"Precinct 013-Grangeville #4",309,59,6,1,0,0,1,0,0,0,0,6,0,376,382
"Precinct 014-Grangeville #5",315,42,3,0,0,0,0,0,1,2,0,5,0,363,368
"Precinct 015-Harpster",140,16,2,1,0,1,1,0,0,0,0,2,0,161,163
"Precinct 016-Joseph",17,5,1,0,1,1,0,0,0,0,0,0,0,25,25
"Precinct 017-Kamiah",575,105,8,2,1,0,0,1,1,0,0,10,0,693,703
"Precinct 018-Keuterville",138,24,3,0,0,0,0,1,0,0,0,0,0,166,166
"Precinct 019-Kooskia",730,77,10,3,1,6,0,1,1,1,0,12,3,830,845
"Precinct 020-Lowell",35,19,2,0,0,1,0,0,1,0,0,1,0,58,59
"Precinct 021-Pollock",261,39,7,2,1,0,0,1,3,0,0,5,1,314,320
"Precinct 022-Riggins",263,49,5,2,0,1,1,1,0,0,0,5,0,322,327
"Precinct 023-Slate Creek 1",84,6,0,0,0,0,0,0,0,0,0,0,0,90,90
"Precinct 024-Stites",200,12,4,0,0,0,0,0,1,0,0,3,0,217,220
"Precinct 025-White Bird",207,13,1,0,0,0,0,0,0,0,0,5,0,221,226
"Precinct 026-Woodland",159,20,5,0,1,3,0,2,0,0,0,4,0,190,194
"Precinct 027-Slate Creek 2",68,18,0,0,0,0,0,0,0,0,0,2,0,86,88
"Precinct 028-Absentee","2,488",684,44,7,10,2,2,11,1,2,0,27,2,"3,251","3,280"
Jefferson,"13,481","1,891",242,88,21,46,17,25,8,1,0,194,2,"15,820","16,016"
"Precinct Annis",282,33,4,0,0,0,0,0,0,0,0,4,0,319,323
"Precinct Clark",934,82,16,4,2,7,1,1,0,0,0,9,0,"1,047","1,056"
"Precinct Garfield",871,115,22,5,1,1,1,3,2,1,0,9,0,"1,022","1,031"
"Precinct Grant",673,74,15,0,1,1,2,0,2,0,0,10,0,768,778
"Precinct Hamer",244,16,1,4,0,0,0,0,0,0,0,3,0,265,268
"Precinct Labelle",726,103,17,1,0,2,0,1,0,0,0,5,0,850,855
"Precinct Lewisville",682,93,5,2,0,2,0,1,0,0,0,10,0,785,795
"Precinct Lorenzo",351,46,10,5,0,2,0,2,0,0,0,2,0,416,418
"Precinct Menan",664,96,8,10,0,2,4,0,1,0,0,10,0,785,795
"Precinct Monteview",210,15,0,0,0,1,0,0,0,0,0,1,0,226,227
"Precinct Rigby 1",731,134,16,10,3,2,3,5,0,0,0,17,0,904,921
"Precinct Rigby 2",417,85,8,0,3,1,0,0,0,0,0,5,0,514,519
"Precinct Rigby 3",673,96,10,7,0,5,1,1,0,0,0,14,0,793,807
"Precinct Rigby 4",980,165,21,9,0,2,0,0,1,0,0,13,0,"1,178","1,191"
"Precinct Rigby 5",933,105,13,5,5,3,1,0,1,0,0,11,0,"1,066","1,077"
"Precinct Rigby 6",834,123,11,8,3,6,1,3,0,0,0,13,1,989,"1,003"
"Precinct Rigby 7",803,127,12,7,0,3,0,1,0,0,0,26,0,953,979
"Precinct Rigby 8",630,79,12,4,1,2,0,2,0,0,0,3,0,730,733
"Precinct Ririe",923,146,27,3,2,4,1,3,1,0,0,10,1,"1,110","1,121"
"Precinct Roberts",510,117,10,3,0,0,1,2,0,0,0,11,0,643,654
"Precinct Terreton",410,41,4,1,0,0,1,0,0,0,0,8,0,457,465
Jerome,"6,012","1,742",108,19,21,14,11,13,5,1,0,100,2,"7,946","8,048"
"Precinct Absentee","2,420",753,33,2,6,4,1,3,2,1,0,38,2,"3,225","3,265"
"Precinct Bishop Court",255,103,11,0,1,0,2,2,1,0,0,7,0,375,382
"Precinct Canyonside",297,71,4,1,3,3,0,0,0,0,0,4,0,379,383
"Precinct Eden",267,52,8,2,0,1,0,1,0,0,0,4,0,331,335
"Precinct Falls City",210,36,5,0,0,0,0,1,1,0,0,5,0,253,258
"Precinct Hazelton",464,72,7,4,1,1,0,1,0,0,0,5,0,550,555
"Precinct Northeast",312,127,10,1,2,1,1,1,0,0,0,15,0,455,470
"Precinct Northwest",320,93,3,2,3,1,2,1,1,0,0,7,0,426,433
"Precinct Rimrock",402,83,7,1,0,1,0,0,0,0,0,5,0,494,499
"Precinct Shepherdview",342,99,12,3,0,0,2,0,0,0,0,5,0,458,463
"Precinct Southeast",199,71,2,1,2,1,1,0,0,0,0,1,0,277,278
"Precinct Southwest",411,146,4,2,2,0,2,3,0,0,0,2,0,570,572
"Precinct Sugar Beet",113,36,2,0,1,1,0,0,0,0,0,2,0,153,155
Kootenai,"72,059","22,113","1,211",424,208,109,72,89,55,25,0,"1,311",35,"96,365","97,711"
"Precinct 201","1,238",244,14,4,6,1,1,3,0,1,0,6,1,"1,512","1,519"
"Precinct 202","1,572",175,23,5,2,5,1,5,1,0,0,27,0,"1,789","1,816"
"Precinct 203","1,480",183,15,3,1,5,1,0,0,0,0,19,1,"1,688","1,708"
"Precinct 204","1,307",266,16,7,5,1,0,2,1,0,0,13,0,"1,605","1,618"
"Precinct 205","1,088",292,13,9,5,3,0,3,0,0,0,28,0,"1,413","1,441"
"Precinct 206",513,153,6,0,2,2,0,0,1,0,0,8,1,677,686
"Precinct 207",501,135,2,4,3,0,1,0,1,0,0,3,0,647,650
"Precinct 208",661,191,8,2,3,0,0,0,1,0,0,17,0,866,883
"Precinct 301",919,236,17,8,4,0,0,3,0,1,0,24,1,"1,188","1,213"
"Precinct 302","1,240",181,12,3,1,2,0,0,1,2,0,17,1,"1,442","1,460"
"Precinct 303","1,450",178,17,6,2,0,0,1,0,0,0,29,2,"1,654","1,685"
"Precinct 304","1,429",317,25,6,1,2,0,0,1,0,0,18,1,"1,781","1,800"
"Precinct 305","1,029",203,17,7,1,4,2,0,0,0,0,6,0,"1,263","1,269"
"Precinct 306","1,140",256,19,7,2,3,2,2,1,0,0,19,0,"1,432","1,451"
"Precinct 307","1,273",207,21,1,4,1,1,1,1,0,0,20,1,"1,510","1,531"
"Precinct 308","1,303",305,22,3,2,7,0,0,1,0,0,10,1,"1,643","1,654"
"Precinct 309","1,476",225,12,6,4,1,1,1,0,0,0,18,0,"1,726","1,744"
"Precinct 310",997,264,12,7,1,2,0,1,1,0,0,10,1,"1,285","1,296"
"Precinct 311",572,127,13,2,0,2,1,3,1,0,0,11,0,721,732
"Precinct 312","1,104",291,21,7,2,0,2,1,0,0,0,24,2,"1,428","1,454"
"Precinct 313","1,226",282,14,6,2,3,1,4,0,1,0,33,0,"1,539","1,572"
"Precinct 314","1,177",400,18,4,4,1,0,2,0,0,0,33,1,"1,606","1,640"
"Precinct 315",918,315,31,7,4,1,0,0,1,0,0,22,2,"1,277","1,301"
"Precinct 316","1,213",257,19,8,1,0,1,0,2,0,0,17,1,"1,501","1,519"
"Precinct 317","1,116",321,14,11,0,0,0,6,0,0,0,13,0,"1,468","1,481"
"Precinct 318",906,303,5,7,0,2,1,0,2,0,0,19,1,"1,226","1,246"
"Precinct 319",985,353,14,6,2,0,0,0,0,0,0,25,0,"1,360","1,385"
"Precinct 320","1,077",383,12,9,2,0,1,2,1,0,0,25,0,"1,487","1,512"
"Precinct 321","1,043",320,16,3,4,3,0,0,0,2,0,23,1,"1,391","1,415"
"Precinct 322","1,285",419,26,6,6,1,0,0,0,0,0,24,0,"1,743","1,767"
"Precinct 323",977,203,16,3,2,0,1,0,0,0,0,14,0,"1,202","1,216"
"Precinct 401",826,262,18,1,4,1,4,2,5,0,0,22,0,"1,123","1,145"
"Precinct 402","1,008",303,21,6,5,0,2,0,0,0,0,25,1,"1,345","1,371"
"Precinct 403","1,010",391,14,12,1,0,1,1,2,0,0,25,0,"1,432","1,457"
"Precinct 404",812,417,25,5,4,1,1,1,0,0,0,24,0,"1,266","1,290"
"Precinct 405","1,071",402,21,7,3,1,5,2,3,0,0,21,0,"1,515","1,536"
"Precinct 406",830,334,18,5,2,4,1,0,1,0,0,23,0,"1,195","1,218"
"Precinct 407",831,434,30,3,5,1,2,0,0,0,0,20,1,"1,306","1,327"
"Precinct 408",852,440,18,2,2,1,0,0,3,0,0,13,1,"1,318","1,332"
"Precinct 409",809,378,21,7,2,2,2,3,1,2,0,20,0,"1,227","1,247"
"Precinct 410",834,410,15,3,8,2,0,0,1,0,0,36,0,"1,273","1,309"
"Precinct 411",804,398,15,4,3,3,1,1,3,0,0,14,2,"1,232","1,248"
"Precinct 412",788,384,19,4,5,0,0,2,0,0,0,18,0,"1,202","1,220"
"Precinct 413",847,430,11,5,4,1,0,0,0,0,0,26,2,"1,298","1,326"
