County,"Donald J. Trump
Republican","Kamala D. Harris
Democratic","Robert F. Kennedy, Jr.
Independent","Chase Oliver
Libertarian","Jill Stein
Independent","Joel Skousen
Constitutional","Claudia De la Cruz
Independent","Randall Terry
Independent","Shiva Ayyadurai
Independent","Peter Sonski
Independent","Brian Larry Kienitz
Independent","Blank Votes","Spoiled Votes","Total Votes Cast","Total Ballots Cast"
Totals,"605,246","274,972","12,812","4,462","2,973","1,577","1,230","1,026",514,242,3,"11,194","1,215","905,057","917,466"
Ada,"143,759","116,116","3,571","1,546","1,155",343,459,264,127,76,3,"3,478",289,"267,419","271,186"
Adams,"2,037",577,32,9,8,10,1,5,0,2,0,35,8,"2,681","2,724"
Bannock,"24,329","14,306",706,205,180,83,81,54,27,5,0,459,130,"39,976","40,565"
"Bear Lake","2,908",346,40,11,7,9,2,1,1,0,0,53,10,"3,325","3,388"
Benewah,"4,094",935,68,20,9,5,5,6,2,1,0,47,33,"5,145","5,225"
Bingham,"16,188","3,878",322,87,48,47,24,39,10,8,0,224,11,"20,651","20,886"
Blaine,"4,281","8,424",193,73,58,17,14,14,13,2,0,185,1,"13,089","13,275"
Boise,"3,727","1,065",61,24,10,12,4,5,2,0,0,30,2,"4,910","4,942"
Bonner,"21,352","7,650",368,126,89,48,19,26,20,12,0,353,52,"29,710","30,115"
Bonneville,"40,053","14,458","1,037",355,176,156,83,69,32,17,0,785,22,"56,436","57,243"
Boundary,"5,794","1,145",81,25,18,28,3,7,9,0,0,142,5,"7,110","7,257"
Butte,"1,268",185,18,1,0,7,2,4,9,0,0,8,5,"1,494","1,507"
Camas,547,153,18,4,3,1,0,2,0,0,0,6,0,728,734
Canyon,"72,755","25,669","1,315",442,294,162,169,125,70,29,0,"1,096",306,"101,030","102,432"
Caribou,"2,906",445,62,15,7,11,2,4,4,0,0,46,17,"3,456","3,519"
Cassia,"7,959","1,359",147,18,15,24,19,11,5,1,0,78,11,"9,558","9,647"
Clark,280,50,1,0,0,0,2,0,0,0,0,6,0,333,339
Clearwater,"3,550",774,56,9,16,3,2,8,0,2,0,39,4,"4,420","4,463"
Custer,"1,998",586,33,9,10,5,3,4,2,0,0,28,2,"2,650","2,680"
Elmore,"7,791","2,611",145,44,28,24,12,11,6,0,0,83,0,"10,672","10,755"
Franklin,"6,279",703,112,28,11,39,2,7,3,0,0,89,25,"7,184","7,298"
Fremont,"5,645",954,116,27,20,22,8,9,2,0,0,70,3,"6,803","6,876"
Gem,"8,707","1,699",114,36,27,17,6,13,1,0,0,98,11,"10,620","10,729"
Gooding,"4,676","1,100",80,23,10,7,8,9,5,0,0,54,4,"5,918","5,976"
Idaho,"8,148","1,460",141,24,18,23,6,26,12,9,0,118,13,"9,867","9,998"
Jefferson,"13,481","1,891",242,88,21,46,17,25,8,1,0,194,2,"15,820","16,016"
Jerome,"6,012","1,742",108,19,21,14,11,13,5,1,0,100,2,"7,946","8,048"
Kootenai,"72,059","22,113","1,211",424,208,109,72,89,55,25,0,"1,311",35,"96,365","97,711"
Latah,"10,669","9,039",350,153,122,26,47,21,13,21,0,361,10,"20,461","20,832"
Lemhi,"3,716","1,038",72,22,9,5,6,4,1,1,0,50,2,"4,874","4,926"
Lewis,"1,503",305,20,4,4,3,1,2,1,3,0,20,1,"1,846","1,867"
Lincoln,"1,466",392,36,6,10,0,6,0,1,0,0,9,13,"1,917","1,939"
Madison,"13,925","2,767",310,136,72,83,22,26,17,5,0,309,4,"17,363","17,676"
Minidoka,"6,401","1,373",91,23,16,11,13,14,5,1,0,70,13,"7,948","8,031"
"Nez Perce","13,707","5,928",284,80,52,29,18,28,6,3,0,190,58,"20,135","20,383"
Oneida,"2,119",253,42,9,6,19,2,6,1,0,0,18,1,"2,457","2,476"
Owyhee,"4,101",756,57,13,3,9,4,5,2,0,0,17,11,"4,950","4,978"
Payette,"9,458","2,064",157,25,13,22,4,11,6,1,0,126,7,"11,761","11,894"
Power,"2,146",785,50,11,7,5,8,3,4,2,0,34,7,"3,021","3,062"
Shoshone,"4,500","1,472",101,23,10,7,9,6,2,2,0,74,8,"6,132","6,214"
Teton,"3,005","3,463",140,37,36,7,7,1,2,0,0,82,13,"6,698","6,793"
"Twin Falls","27,304","9,064",545,179,113,63,43,42,20,10,0,448,57,"37,383","37,888"
Valley,"4,214","2,869",88,35,23,5,3,1,2,0,0,111,5,"7,240","7,356"
Washington,"4,429","1,010",71,14,10,11,1,6,1,2,0,60,2,"5,555","5,617"
Totals,"605,246","274,972","12,812","4,462","2,973","1,577","1,230","1,026",514,242,3,"11,194","1,215","905,057","917,466"

