state,election_day_2024_11_05,post_election_processing_2024_11_08_to_11_09,tracker_minimum_total,scope_note,primary_source
Arizona,16,0,16,"Election Day threats reported across 10 counties.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
California,0,6,6,"Election-office threats reported on November 8 and November 9.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
Georgia,60,0,60,"Election Day threats. The tracker assigns 41 threats to Clayton, DeKalb, Fulton, and Gwinnett counties and leaves 19 county-unspecified.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
Maryland,0,15,15,"Election-office threats reported on November 8 across 15 jurisdictions.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
Michigan,4,0,4,"Election Day polling-location threats in Genesee, Saginaw, Washtenaw, and Wayne counties. Supplemental reporting cited 5 Michigan locations when the Lansing Secretary of State office is included.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
Minnesota,0,47,47,"Election-office threats reported on November 8; tracker county breakdown is unspecified.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
Oregon,0,36,36,"Election-office threats reported on November 8; one tracker row for each Oregon county.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
Pennsylvania,41,0,41,"Election Day threats reported across polling locations and election offices.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
Wisconsin,2,0,2,"Election Day threats reported in Dane County.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
TOTAL,123,104,227,"Publicly confirmed minimum in the Brennan Center tracker; the source notes that its public-information research may not be exhaustive.","https://www.brennancenter.org/sites/default/files/2025-03/bcj-2024-election-bomb-threat-tracker_0.pdf"
