,,Kamala D. Harris and Timothy Walz,Donald J. Trump and JD Vance,"Robert F. Kennedy, Jr and Nicole Shanahan",Jill Stein and Rudolph Ware,Chase Oliver and Mike Ter Maat,Claudia De La Cruz and Karina Garcia,Laura Ebke and Trisha Butler,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,Independent,Green,Libertarian,Party for Socialism and Liberation,Liberal Party USA,,
Precinct,526,397,271,7,*,7,*,*,682,682
Precinct,527,141,104,*,*,*,*,*,245,245
Precinct,528,129,145,*,*,*,*,*,274,274
Precinct,529,243,159,*,7,*,*,*,409,409
Precinct,530,324,173,5,*,*,*,*,502,502
Precinct,531,341,197,5,5,*,*,*,548,548
Precinct,532,282,196,*,5,*,5,*,488,488
Precinct,533,272,138,*,*,*,*,*,410,410
Precinct,534,361,274,6,*,*,*,*,641,641
Precinct,535,271,208,*,*,*,*,*,479,479
Precinct,536,192,137,*,*,*,*,*,329,329
Precinct,537,248,148,*,5,*,*,*,401,401
Precinct,538,218,113,*,*,*,*,*,331,331
Precinct,539,367,168,*,6,*,*,*,541,541
Precinct,540,222,171,6,*,*,*,*,399,399
Precinct,541,269,405,7,8,*,*,*,689,689
Precinct,542,301,196,7,*,*,5,*,509,509
Precinct,543,234,144,7,*,5,*,*,390,390
Precinct,544,359,245,5,*,*,*,*,609,609
Precinct,545,324,257,10,*,*,*,*,591,591
Precinct,546,304,264,10,*,*,*,*,578,578
Precinct,547,338,236,7,*,*,*,*,581,581
Precinct,548,289,180,11,*,6,*,*,486,486
Precinct,549,374,261,6,6,7,*,*,654,654
Precinct,550,329,197,7,*,*,*,*,533,533
Precinct,551,105,128,*,*,*,*,*,233,233
Precinct,552,314,283,5,*,*,*,*,602,602
Precinct,553,311,340,6,11,13,*,*,681,681
Precinct,554,261,215,5,*,6,*,*,487,487
Precinct,555,297,203,5,*,*,*,*,505,505
Precinct,556,243,246,*,7,6,*,*,502,502
Precinct,557,266,339,*,5,*,*,*,610,610
Precinct,558,304,229,10,5,7,*,*,555,555
Precinct,559,368,320,6,6,5,*,*,705,705
Precinct,560,282,298,*,*,8,*,*,588,588
Precinct,561,205,148,5,*,*,*,*,358,358
Precinct,562,379,222,*,*,*,*,*,601,601
Precinct,563,188,173,*,*,*,*,*,361,361
Precinct,564,232,174,7,*,*,*,*,413,413
Precinct,565,345,228,*,*,*,*,*,573,573
Precinct,566,383,280,*,*,7,*,*,670,670
Precinct,567,61,54,*,*,*,*,*,115,115
Precinct,568,212,258,5,*,*,*,*,475,475
Precinct,569,283,142,6,*,9,*,*,440,440
Precinct,570,183,120,5,*,*,*,*,308,308
Precinct,571,181,240,5,*,*,*,*,426,426
Precinct,572,185,233,7,*,*,*,*,425,425
Precinct,573,178,174,*,*,*,*,*,352,352
Precinct,574,338,166,7,*,12,*,*,523,523
Precinct,575,381,372,*,*,5,*,*,758,758
Precinct,576,302,296,8,*,6,*,*,612,612
Precinct,577,263,364,5,*,6,*,*,638,638
Precinct,578,230,237,5,*,*,*,*,472,472
Precinct,579,317,330,9,5,*,*,*,661,661
Precinct,580,218,277,5,*,7,*,*,507,507
Precinct,581,282,121,*,*,*,*,*,403,403
Precinct,582,145,191,*,*,*,*,*,336,336
Precinct,583,229,221,*,*,*,*,*,450,450
Precinct,584,186,167,5,*,*,*,*,358,358
Precinct,585,202,156,7,*,*,*,*,365,365
Precinct,586,370,198,*,*,*,*,*,568,568
Precinct,587,286,104,*,*,*,*,*,390,390
Precinct,588,290,260,*,5,*,*,*,555,555
Precinct,589,268,186,5,8,*,*,*,467,467
Precinct,590,284,194,*,*,*,*,*,478,478
Precinct,591,78,47,*,*,*,*,*,125,125
Precinct,592,293,273,9,5,6,*,*,586,586
Precinct,593,285,161,11,7,*,*,*,464,464
Precinct,594,327,331,5,7,*,*,*,670,670
Precinct,595,317,401,5,*,*,*,*,723,723
Precinct,596,146,248,10,*,*,*,*,404,404
Precinct,597,197,453,6,*,8,*,*,664,664
Precinct,598,147,189,5,*,*,*,*,341,341
Precinct,599,260,199,*,5,*,*,*,464,464
Precinct,600,177,98,*,*,*,*,*,275,275
Precinct,601,259,271,*,5,5,*,*,540,540
Precinct,602,329,251,5,6,5,*,*,596,596
Precinct,603,335,245,6,*,7,*,*,593,593
Precinct,604,179,121,*,*,*,*,*,300,300
Precinct,605,255,176,*,*,*,*,*,431,431
Precinct,606,280,261,13,*,*,*,*,554,554
Precinct,607,242,196,5,*,*,*,*,443,443
Precinct,608,207,322,7,8,*,*,*,544,544
Precinct,609,189,129,6,*,*,*,*,324,324
Precinct,610,203,156,*,*,*,*,*,359,359
Precinct,611,260,235,*,*,*,*,*,495,495
Precinct,612,336,267,5,*,*,*,*,608,608
Precinct,613,163,30,*,*,*,*,*,193,193
Precinct,614,275,185,7,*,*,*,*,467,467
Precinct,615,186,203,7,*,*,*,*,396,396
Precinct,616,89,98,5,*,*,*,*,192,192
Precinct,617,115,69,*,*,*,*,*,184,184
Precinct,618,265,166,*,*,*,*,*,431,431
Precinct,619,163,138,*,*,*,*,*,301,301
Precinct,620,104,91,*,*,*,*,*,195,195
Precinct,621,235,161,*,*,*,*,*,396,396
Precinct,622,246,199,*,*,*,*,*,445,445
Precinct,623,232,206,*,*,*,*,*,438,438
Precinct,624,229,205,*,*,*,*,*,434,434
Precinct,625,255,168,*,*,*,*,*,423,423
Precinct,626,360,285,10,*,5,*,*,660,660
Precinct,627,215,146,*,*,*,*,*,361,361
Precinct,628,104,98,*,*,*,*,*,202,202
Precinct,629,288,208,5,*,*,*,*,501,501
Precinct,630,168,140,*,*,*,*,*,308,308
Precinct,631,74,84,*,*,*,*,*,158,158
Precinct,632,263,216,*,*,*,*,*,479,479
Precinct,633,221,154,*,*,*,*,*,375,375
Precinct,634,279,82,5,6,*,*,*,372,372
Precinct,635,205,235,9,*,*,*,*,449,449
Precinct,636,235,278,11,7,*,*,*,531,531
Precinct,637,156,137,*,*,*,*,*,293,293
Precinct,638,206,189,5,*,*,*,*,400,400
Precinct,639,233,201,7,*,*,*,*,441,441
Precinct,640,174,46,*,8,*,*,*,228,228
Precinct,641,144,118,*,*,*,*,*,262,262
Precinct,642,143,75,*,*,*,*,*,218,218
Precinct,643,237,201,*,*,*,*,*,438,438
Precinct,644,288,199,*,*,*,*,*,487,487
Precinct,645,152,130,*,*,5,*,*,287,287
Precinct,646,158,82,*,*,*,*,*,240,240
Precinct,647,129,113,*,*,*,*,*,242,242
Precinct,648,287,248,*,*,*,*,*,535,535
Precinct,649,254,185,*,*,*,*,*,439,439
Precinct,650,196,143,*,*,*,*,*,339,339
Precinct,651,172,176,*,*,*,*,*,348,348
Precinct,652,98,95,*,*,*,*,*,193,193
Precinct,653,95,67,*,*,*,*,*,162,162
Precinct,654,188,131,*,*,*,*,*,319,319
Precinct,655,151,134,5,*,*,*,*,290,290
Precinct,656,191,164,*,*,5,*,*,360,360
Precinct,657,191,146,*,*,*,*,*,337,337
Precinct,658,130,59,*,*,*,*,*,189,189
Precinct,659,150,123,*,*,*,*,*,273,273
Precinct,660,166,77,*,*,*,*,*,243,243
Precinct,661,229,161,5,5,*,*,*,400,400
Precinct,662,178,148,5,*,*,*,*,331,331
Precinct,663,180,94,*,*,*,*,*,274,274
Precinct,664,71,79,*,*,*,*,*,150,150
Precinct,665,208,172,5,5,*,*,*,390,390
Precinct,666,207,86,*,*,*,*,*,293,293
Precinct,667,119,166,*,*,*,*,*,285,285
Precinct,668,228,203,*,*,*,*,*,431,431
Precinct,669,156,86,*,*,*,*,*,242,242
Precinct,670,327,132,*,*,*,*,*,459,459
Precinct,671,198,102,5,5,*,*,*,310,310
Precinct,672,83,81,*,*,*,*,*,164,164
Precinct,673,114,151,*,*,*,*,*,265,265
Precinct,674,177,129,8,*,*,*,*,314,314
Precinct,675,159,127,*,*,*,*,*,286,286
Precinct,676,164,158,*,6,*,*,*,328,328
Precinct,677,199,84,*,*,*,*,*,283,283
Precinct,678,118,94,*,*,*,*,*,212,212
Precinct,679,239,128,6,*,*,5,*,378,378
Precinct,680,222,162,6,5,*,*,*,395,395
Precinct,681,173,97,*,*,*,*,*,270,270
Precinct,682,216,199,*,8,7,*,*,430,430
Precinct,683,122,144,*,*,*,*,*,266,266
Precinct,684,76,110,*,*,*,*,*,186,186
Precinct,685,111,87,*,*,*,*,*,198,198
Precinct,686,213,176,5,*,*,*,*,394,394
Precinct,687,130,79,*,*,*,*,*,209,209
Precinct,Voter Privacy,0,0,950,991,955,745,277,3918,3918
County,Catron,571,1752,20,6,5,2,1,2357,2357
Precinct,1,94,276,6,*,*,*,*,376,376
Precinct,2,99,424,6,*,*,*,*,529,529
Precinct,3,102,194,*,*,*,*,*,296,296
Precinct,4,35,194,*,*,*,*,*,229,229
Precinct,5,72,184,*,*,*,*,*,256,256
Precinct,6,24,93,*,*,*,*,*,117,117
Precinct,7,93,227,*,*,*,*,*,320,320
Precinct,8,38,126,*,*,*,*,*,164,164
Precinct,9,14,34,*,*,*,*,*,48,48
Precinct,Voter Privacy,0,0,8,6,5,2,1,22,22
County,Chaves,5941,15894,203,45,57,44,16,22200,22200
Precinct,1,56,378,6,*,*,*,*,440,440
Precinct,2,117,299,*,*,*,*,*,416,416
Precinct,3,130,360,*,*,*,*,*,490,490
Precinct,4,135,294,5,*,*,*,*,434,434
Precinct,5,108,373,*,*,*,*,*,481,481
Precinct,6,131,354,6,*,*,*,*,491,491
Precinct,7,142,483,*,*,*,*,*,625,625
Precinct,8,121,431,5,*,*,*,*,557,557
Precinct,9,82,210,*,*,*,*,*,292,292
Precinct,10,92,564,6,*,*,*,*,662,662
Precinct,11,77,260,*,*,*,*,*,337,337
Precinct,12,46,400,*,*,*,*,*,446,446
Precinct,13,141,377,*,*,*,*,*,518,518
Precinct,14,156,289,10,*,*,*,*,455,455
Precinct,15,75,181,*,*,*,*,*,256,256
Precinct,16,84,210,*,*,*,*,*,294,294
Precinct,17,120,325,*,*,*,*,*,445,445
Precinct,18,91,273,*,*,*,*,*,364,364
Precinct,20,129,278,*,*,*,*,*,407,407
Precinct,21,176,473,*,*,*,*,*,649,649
Precinct,22,149,312,6,*,*,*,*,467,467
Precinct,23,107,217,*,*,*,*,*,324,324
Precinct,24,69,121,*,*,*,*,*,190,190
Precinct,25,95,138,*,*,*,*,*,233,233
Precinct,31,133,327,*,*,*,*,*,460,460
Precinct,32,77,143,*,*,*,*,*,220,220
Precinct,33,91,231,*,*,*,*,*,322,322
Precinct,34,79,141,*,*,*,*,*,220,220
Precinct,35,116,248,7,*,*,*,*,371,371
Precinct,36,108,467,5,*,*,*,*,580,580
Precinct,40,57,264,*,*,*,*,*,321,321
Precinct,41,163,394,5,*,*,*,*,562,562
Precinct,42,75,142,*,*,*,*,*,217,217
Precinct,43,93,142,*,*,*,*,*,235,235
Precinct,44,*,24,*,*,*,*,*,24,24
Precinct,45,*,13,*,*,*,*,*,13,13
Precinct,46,12,75,*,*,*,*,*,87,87
Precinct,47,*,*,*,*,*,*,*,0,0
Precinct,51,45,89,*,*,*,*,*,134,134
Precinct,52,103,234,*,*,*,*,*,337,337
Precinct,61,86,76,*,*,*,*,*,162,162
Precinct,62,106,130,*,*,*,*,*,236,236
Precinct,63,99,144,*,*,*,*,*,243,243
Precinct,64,147,160,*,*,*,*,*,307,307
Precinct,71,54,245,*,*,*,*,*,299,299
Precinct,72,104,251,*,*,*,*,*,355,355
Precinct,73,49,213,*,*,*,*,*,262,262
Precinct,74,50,138,*,*,*,*,*,188,188
Precinct,81,70,117,*,*,*,*,*,187,187
Precinct,82,99,204,*,*,*,*,*,303,303
Precinct,83,64,160,*,*,*,*,*,224,224
Precinct,84,119,319,8,*,*,*,*,446,446
Precinct,85,85,209,5,*,*,*,*,299,299
Precinct,90,89,172,*,*,*,*,*,261,261
Precinct,91,163,396,9,*,*,*,*,568,568
Precinct,92,70,205,*,*,*,*,*,275,275
Precinct,93,187,421,6,*,*,*,*,614,614
Precinct,94,89,153,*,*,*,*,*,242,242
Precinct,95,75,112,*,*,*,*,*,187,187
Precinct,101,122,389,5,*,*,*,*,516,516
Precinct,102,78,314,*,*,*,*,*,392,392
Precinct,103,42,188,*,*,*,*,*,230,230
Precinct,104,*,79,*,*,*,*,*,79,79
Precinct,105,48,241,*,*,*,*,*,289,289
Precinct,106,42,214,*,*,*,*,*,256,256
Precinct,Voter Privacy,6,4,102,45,57,44,16,274,274
County,Cibola,4450,4311,143,17,15,29,12,8977,8977
Precinct,1,12,129,*,*,*,*,*,141,141
Precinct,2,92,101,*,*,*,*,*,193,193
Precinct,3,28,38,*,*,*,*,*,66,66
Precinct,4,79,242,*,*,*,*,*,321,321
Precinct,5,365,222,12,*,*,*,*,599,599
Precinct,6,34,95,*,*,*,*,*,129,129
Precinct,7,148,280,7,*,*,*,*,435,435
Precinct,8,178,227,5,*,*,*,*,410,410
Precinct,9,230,263,*,*,*,6,*,499,499
Precinct,10,186,258,*,*,*,*,*,444,444
Precinct,11,264,312,7,*,*,*,*,583,583
Precinct,12,131,144,*,*,*,*,*,275,275
Precinct,13,84,130,*,*,*,*,*,214,214
Precinct,14,112,299,*,*,*,*,*,411,411
Precinct,15,95,268,5,*,*,*,*,368,368
Precinct,16,110,204,5,*,*,*,*,319,319
Precinct,17,465,60,12,*,*,*,*,537,537
Precinct,18,83,84,*,*,*,*,*,167,167
Precinct,19,84,194,8,*,*,*,*,286,286
Precinct,20,302,72,9,*,*,*,*,383,383
Precinct,21,135,38,5,*,*,*,*,178,178
Precinct,22,140,30,*,*,*,*,*,170,170
Precinct,23,31,14,*,*,*,*,*,45,45
Precinct,24,197,35,*,*,*,*,*,232,232
Precinct,25,103,33,*,*,*,*,*,136,136
Precinct,26,216,109,19,*,*,*,*,344,344
Precinct,27,52,113,*,*,*,*,*,165,165
Precinct,28,168,214,9,*,*,*,*,391,391
Precinct,29,220,46,7,*,*,*,*,273,273
Precinct,30,106,57,*,*,*,*,*,163,163
Precinct,Voter Privacy,0,0,33,17,15,23,12,100,100
County,Colfax,2436,3252,75,14,24,7,5,5813,5813
Precinct,1,164,235,*,*,*,*,*,399,399
Precinct,2,162,159,*,*,*,*,*,321,321
Precinct,3,117,132,*,*,*,*,*,249,249
Precinct,4,99,180,*,*,*,*,*,279,279
Precinct,5,172,206,*,*,*,*,*,378,378
Precinct,7,60,131,*,*,*,*,*,191,191
Precinct,8,271,342,6,*,9,*,*,628,628
Precinct,9,81,101,*,*,*,*,*,182,182
Precinct,10,21,59,*,*,*,*,*,80,80
Precinct,11,62,55,*,*,*,*,*,117,117
Precinct,12,80,102,*,*,*,*,*,182,182
Precinct,13,48,47,*,*,*,*,*,95,95
Precinct,14,59,89,6,*,*,*,*,154,154
Precinct,15,118,207,5,*,*,*,*,330,330
Precinct,16,209,294,10,*,*,*,*,513,513
Precinct,17,127,122,5,*,*,*,*,254,254
Precinct,18,36,44,*,*,*,*,*,80,80
Precinct,19,53,36,*,*,*,*,*,89,89
Precinct,20,122,118,*,*,*,*,*,240,240
Precinct,21,190,237,8,*,*,*,*,435,435
Precinct,22,185,356,5,*,*,*,*,546,546
Precinct,Voter Privacy,0,0,30,14,15,7,5,71,71
County,Curry,4230,10714,161,26,62,18,12,15223,15223
Precinct,1,9,97,*,*,*,*,*,106,106
Precinct,2,6,128,*,*,*,*,*,134,134
Precinct,3,17,132,*,*,*,*,*,149,149
Precinct,4,49,379,5,*,*,*,*,433,433
Precinct,5,56,176,*,*,*,*,*,232,232
Precinct,6,90,101,*,*,*,*,*,191,191
Precinct,7,167,125,*,*,*,*,*,292,292
Precinct,8,189,294,*,*,*,*,*,483,483
Precinct,9,176,231,7,*,*,*,*,414,414
Precinct,10,64,312,5,*,*,*,*,381,381
Precinct,11,159,378,6,*,*,*,*,543,543
Precinct,12,223,359,9,*,*,*,*,591,591
Precinct,13,123,227,*,*,*,*,*,350,350
Precinct,14,125,318,7,*,*,*,*,450,450
Precinct,15,171,302,6,*,*,*,*,479,479
Precinct,16,*,38,*,*,*,*,*,38,38
Precinct,17,141,441,5,*,*,*,*,587,587
Precinct,18,197,594,*,*,*,*,*,791,791
Precinct,19,109,270,*,*,*,*,*,379,379
Precinct,20,162,230,*,*,*,*,*,392,392
Precinct,21,84,172,*,*,*,*,*,256,256
Precinct,22,72,140,*,*,*,*,*,212,212
Precinct,23,77,310,*,*,*,*,*,387,387
Precinct,24,184,558,5,*,10,*,*,757,757
Precinct,25,89,83,*,*,*,*,*,172,172
Precinct,26,88,106,*,*,*,*,*,194,194
Precinct,27,41,73,*,*,*,*,*,114,114
Precinct,28,51,110,5,*,*,*,*,166,166
Precinct,29,128,176,5,*,*,*,*,309,309
Precinct,30,40,251,*,*,*,*,*,291,291
Precinct,31,104,247,5,*,*,*,*,356,356
Precinct,32,64,242,7,*,*,*,*,313,313
Precinct,33,107,361,5,*,*,*,*,473,473
Precinct,34,6,80,*,*,*,*,*,86,86
Precinct,35,77,534,*,*,5,*,*,616,616
Precinct,36,26,142,*,*,*,*,*,168,168
Precinct,37,168,508,*,*,*,*,*,676,676
Precinct,38,109,283,6,*,*,*,*,398,398
Precinct,39,107,385,6,*,*,*,*,498,498
Precinct,40,129,342,9,*,*,*,*,480,480
Precinct,41,59,115,*,*,*,*,*,174,174
Precinct,42,90,169,*,*,*,*,*,259,259
Precinct,43,96,195,*,*,*,*,*,291,291
Precinct,Voter Privacy,1,0,58,26,47,18,12,162,162
County,De Baca,206,649,12,2,2,0,3,874,874
Precinct,1,5,62,*,*,*,*,*,67,67
Precinct,2,71,341,6,*,*,*,*,418,418
Precinct,3,73,187,5,*,*,*,*,265,265
Precinct,4,57,59,*,*,*,*,*,116,116
Precinct,Voter Privacy,0,0,1,2,2,0,3,8,8
County,Dona Ana,45937,37594,857,387,306,234,92,85407,85407
Precinct,1,113,183,*,*,*,*,*,296,296
Precinct,2,119,161,*,*,*,*,*,280,280
Precinct,3,111,172,*,*,*,*,*,283,283
Precinct,4,300,243,7,*,*,*,*,550,550
Precinct,5,136,150,*,*,*,*,*,286,286
Precinct,6,149,202,8,*,*,*,*,359,359
Precinct,7,386,349,9,5,*,*,*,749,749
Precinct,8,170,131,*,*,*,*,*,301,301
Precinct,9,121,90,*,*,*,*,*,211,211
Precinct,10,96,61,*,*,*,*,*,157,157
Precinct,11,235,217,*,*,*,*,*,452,452
Precinct,12,159,123,7,*,*,*,*,289,289
Precinct,13,202,124,*,*,*,*,*,326,326
Precinct,14,232,288,6,*,*,*,*,526,526
Precinct,15,119,167,*,*,*,*,*,286,286
Precinct,16,302,194,5,*,*,*,*,501,501
Precinct,17,356,288,6,*,*,*,*,650,650
Precinct,18,403,215,6,5,*,*,*,629,629
Precinct,19,272,279,5,*,*,*,*,556,556
Precinct,20,343,334,10,*,*,*,*,687,687
Precinct,21,173,138,*,*,*,*,*,311,311
Precinct,22,387,405,10,6,*,*,*,808,808
Precinct,23,254,210,7,*,*,*,*,471,471
Precinct,24,343,225,10,*,*,*,*,578,578
Precinct,25,215,126,*,*,*,*,*,341,341
Precinct,26,250,185,7,5,*,5,*,452,452
Precinct,27,240,167,5,5,*,*,*,417,417
Precinct,28,328,164,8,*,*,*,*,500,500
Precinct,29,142,72,*,*,*,*,*,214,214
Precinct,30,257,136,*,*,*,*,*,393,393
Precinct,31,307,129,*,*,*,*,*,436,436
Precinct,32,59,38,*,*,*,*,*,97,97
Precinct,33,251,156,5,*,*,*,*,412,412
Precinct,34,205,124,*,*,*,*,*,329,329
Precinct,35,169,70,7,*,*,*,*,246,246
Precinct,36,102,63,*,*,*,*,*,165,165
Precinct,37,249,87,*,*,*,*,*,336,336
Precinct,38,138,99,*,*,*,*,*,237,237
Precinct,39,263,164,*,*,*,*,*,427,427
Precinct,40,319,247,5,6,5,*,*,582,582
Precinct,41,155,63,*,*,*,*,*,218,218
Precinct,42,140,73,*,*,*,*,*,213,213
Precinct,43,173,105,*,*,*,5,*,283,283
Precinct,44,192,133,*,*,*,*,*,325,325
Precinct,45,223,142,*,*,*,*,*,365,365
Precinct,46,148,98,*,*,*,*,*,246,246
Precinct,47,267,143,7,5,*,*,*,422,422
Precinct,48,317,148,8,*,*,*,*,473,473
Precinct,49,190,138,*,*,*,*,*,328,328
Precinct,50,153,69,6,*,*,*,*,228,228
Precinct,51,219,134,7,*,*,*,*,360,360
Precinct,52,280,175,6,*,*,*,*,461,461
Precinct,53,251,153,9,*,*,6,*,419,419
Precinct,54,133,55,*,5,*,*,*,193,193
Precinct,55,391,264,5,5,7,*,*,672,672
Precinct,56,253,139,*,*,*,*,*,392,392
Precinct,57,300,216,5,*,*,*,*,521,521
Precinct,58,225,99,*,*,*,*,*,324,324
Precinct,59,381,306,9,*,*,*,*,696,696
Precinct,60,46,105,*,*,*,*,*,151,151
Precinct,61,378,235,*,5,5,*,*,623,623
Precinct,62,210,234,*,*,*,*,*,444,444
Precinct,63,300,424,*,*,*,*,*,724,724
Precinct,64,140,186,*,*,*,*,*,326,326
Precinct,65,214,188,6,*,*,*,*,408,408
Precinct,66,249,292,*,*,*,*,*,541,541
Precinct,67,427,253,*,8,*,*,*,688,688
Precinct,68,215,136,*,*,*,*,*,351,351
Precinct,69,283,176,8,6,*,*,*,473,473
Precinct,70,220,135,8,*,*,*,*,363,363
Precinct,71,308,169,5,*,5,*,*,487,487
Precinct,72,125,122,*,*,*,*,*,247,247
Precinct,73,276,214,*,*,*,*,*,490,490
Precinct,74,179,279,*,*,*,*,*,458,458
Precinct,75,195,254,8,*,*,*,*,457,457
Precinct,76,162,173,5,*,*,*,*,340,340
Precinct,77,248,161,*,*,*,*,*,409,409
Precinct,78,301,246,6,*,*,*,*,553,553
Precinct,79,305,279,6,*,*,*,*,590,590
Precinct,80,167,100,*,*,*,*,*,267,267
Precinct,81,65,107,*,*,*,*,*,172,172
Precinct,82,255,166,6,*,*,*,*,427,427
Precinct,83,229,216,*,*,*,*,*,445,445
Precinct,84,236,300,9,*,*,*,*,545,545
Precinct,85,283,288,*,*,*,*,*,571,571
Precinct,86,347,298,12,*,*,*,*,657,657
Precinct,87,168,246,9,*,*,*,*,423,423
Precinct,88,129,96,*,*,*,*,*,225,225
Precinct,89,299,233,7,*,*,*,*,539,539
Precinct,90,338,218,5,*,*,*,*,561,561
Precinct,91,232,184,*,*,*,*,*,416,416
Precinct,92,104,50,*,*,*,*,*,154,154
Precinct,93,90,54,*,*,*,*,*,144,144
Precinct,94,202,94,*,*,*,*,*,296,296
Precinct,95,40,70,*,*,*,*,*,110,110
Precinct,96,319,409,7,*,*,*,*,735,735
Precinct,97,230,176,*,*,*,*,*,406,406
Precinct,98,206,278,*,*,*,*,*,484,484
Precinct,99,267,236,5,*,*,*,*,508,508
Precinct,100,234,282,*,*,*,*,*,516,516
Precinct,101,224,206,6,*,*,*,*,436,436
Precinct,102,300,231,7,*,*,*,*,538,538
Precinct,103,359,226,6,*,6,*,*,597,597
Precinct,104,250,130,*,*,*,*,*,380,380
Precinct,105,395,371,*,*,*,*,*,766,766
Precinct,106,318,244,7,6,5,*,*,580,580
Precinct,107,386,336,7,*,*,*,*,729,729
Precinct,108,170,157,*,5,*,*,*,332,332
Precinct,109,263,155,*,*,*,*,*,418,418
Precinct,110,402,286,*,*,*,*,*,688,688
Precinct,111,29,93,*,*,*,*,*,122,122
Precinct,112,311,283,*,*,*,*,*,594,594
Precinct,113,350,247,*,*,*,*,*,597,597
Precinct,114,254,208,*,*,*,*,*,462,462
Precinct,115,292,438,7,*,*,*,*,737,737
Precinct,116,351,315,8,*,5,*,*,679,679
Precinct,117,294,242,6,*,*,*,*,542,542
Precinct,118,248,244,*,*,*,*,*,492,492
Precinct,119,294,310,7,*,*,*,*,611,611
Precinct,120,32,44,*,*,*,*,*,76,76
Precinct,121,170,142,*,*,*,*,*,312,312
Precinct,122,264,286,13,*,*,*,*,563,563
Precinct,123,213,398,5,*,*,*,*,616,616
Precinct,124,248,280,6,*,5,*,*,539,539
Precinct,125,489,486,8,*,*,*,*,983,983
Precinct,126,336,250,8,6,*,*,*,600,600
Precinct,127,351,269,5,*,*,*,*,625,625
Precinct,128,245,287,6,*,*,*,*,538,538
Precinct,129,309,243,7,*,*,*,*,559,559
Precinct,130,357,388,15,*,5,*,*,765,765
Precinct,131,269,260,10,*,*,*,*,539,539
Precinct,132,194,182,*,*,*,*,*,376,376
Precinct,133,209,204,*,*,*,*,*,413,413
Precinct,134,200,208,*,*,*,*,*,408,408
Precinct,135,260,168,*,*,*,*,*,428,428
Precinct,136,223,193,11,*,*,*,*,427,427
Precinct,137,338,223,7,*,*,*,*,568,568
Precinct,138,203,143,*,*,*,*,*,346,346
Precinct,139,471,313,9,5,5,*,*,803,803
Precinct,140,287,239,7,*,*,*,*,533,533
Precinct,141,345,277,*,*,*,*,*,622,622
Precinct,142,178,172,*,*,*,*,*,350,350
Precinct,143,373,277,5,*,8,*,*,663,663
Precinct,144,168,116,*,5,*,*,*,289,289
Precinct,145,87,72,*,*,*,*,*,159,159
Precinct,146,230,278,7,*,*,*,*,515,515
Precinct,147,199,136,*,*,*,*,*,335,335
Precinct,148,375,209,*,*,5,*,*,589,589
Precinct,149,246,128,*,*,*,*,*,374,374
Precinct,150,278,179,6,5,*,*,*,468,468
Precinct,151,229,190,*,*,*,*,*,419,419
Precinct,152,273,211,5,*,5,*,*,494,494
Precinct,153,287,207,*,*,*,*,*,494,494
Precinct,154,243,152,*,*,*,*,*,395,395
Precinct,155,121,99,*,*,*,*,*,220,220
Precinct,156,155,82,*,*,*,*,*,237,237
Precinct,157,336,208,*,*,*,*,*,544,544
Precinct,158,213,127,*,*,*,*,*,340,340
Precinct,159,214,116,*,*,*,*,*,330,330
Precinct,160,130,92,*,*,*,*,*,222,222
Precinct,161,148,204,*,*,*,*,*,352,352
Precinct,162,514,418,9,*,*,*,*,941,941
Precinct,163,171,186,*,*,*,*,*,357,357
Precinct,164,272,182,*,*,*,*,*,454,454
Precinct,165,158,189,*,*,*,*,*,347,347
Precinct,166,304,289,*,7,*,*,*,600,600
Precinct,167,215,110,*,*,*,*,*,325,325
Precinct,168,213,160,*,*,*,*,*,373,373
Precinct,169,233,139,*,*,*,*,*,372,372
Precinct,170,341,182,*,*,*,*,*,523,523
Precinct,171,472,403,15,8,*,*,*,898,898
Precinct,172,488,400,10,*,*,*,*,898,898
Precinct,173,225,212,5,*,*,*,*,442,442
Precinct,174,211,155,5,*,*,*,*,371,371
Precinct,175,293,260,6,*,*,*,*,559,559
Precinct,176,412,332,9,*,*,*,*,753,753
Precinct,177,201,173,*,*,*,*,*,374,374
Precinct,178,238,217,*,5,*,*,*,460,460
Precinct,179,180,177,*,*,*,*,*,357,357
Precinct,180,120,112,*,*,*,*,*,232,232
Precinct,181,290,245,8,*,*,*,*,543,543
Precinct,182,261,249,*,*,*,*,*,510,510
Precinct,183,178,175,*,*,*,*,*,353,353
Precinct,184,161,148,*,*,*,*,*,309,309
Precinct,185,179,199,*,*,*,*,*,378,378
Precinct,186,180,117,5,*,*,*,*,302,302
Precinct,187,220,179,*,*,*,*,*,399,399
Precinct,188,170,195,*,*,*,*,*,365,365
Precinct,189,190,189,*,*,*,*,*,379,379
Precinct,190,274,151,8,*,*,*,*,433,433
Precinct,Voter Privacy,0,0,269,269,235,218,92,1083,1083
County,Eddy,5032,18141,169,40,59,18,13,23472,23472
Precinct,1,42,295,*,*,*,*,*,337,337
Precinct,2,43,274,*,*,*,*,*,317,317
Precinct,3,88,293,*,*,*,*,*,381,381
Precinct,4,91,424,*,*,*,*,*,515,515
Precinct,5,51,471,5,*,*,*,*,527,527
Precinct,6,62,420,*,*,*,*,*,482,482
Precinct,7,100,680,*,*,*,*,*,780,780
Precinct,8,56,591,*,*,*,*,*,647,647
